#             y      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0082497982     0.059721205    -0.048243649  -1.4764072e-20      0.56819991    -0.059647895   1.4472268e-19   3.5586465e-19   3.8221636e-21   1.6264562e-37       5.4613312      0.01597274   5.4703417e-24     0.090896891     0.027576427    0.0001236955       13.759735
    0.008778139     0.065167536    -0.048096193   9.8731118e-21      0.29316197    -0.065105878   5.7494734e-20  -2.6769719e-19   1.1623114e-19  -1.3628231e-37       5.4615404     0.015939421   1.2039867e-22     0.090923517     0.027666375   0.00012723665       13.607844
   0.0093390136     0.069256266     -0.04796006   3.6564313e-20     0.099171152    -0.069178831  -2.0585761e-19  -3.8583012e-19   4.4068063e-20  -1.9319009e-37       5.4616363     0.015901469   4.4882243e-23     0.090942538     0.027736932   0.00012967787       13.493134
   0.0099344254     0.072287955        -0.04783   2.6699744e-20    -0.036013332    -0.072248023   -1.143455e-19  -9.3378223e-20  -1.1999795e-19  -1.9963328e-38       5.4616444     0.015859127  -1.2704193e-22     0.090955966     0.027789786   0.00013109217       13.408836
    0.010566501     0.074512286    -0.047706154  -1.5074471e-21     -0.12894255    -0.074507446   9.9146669e-20   7.3816073e-21  -4.9224876e-20  -1.5311738e-37       5.4615842     0.015812519  -6.7290332e-23     0.090965373     0.027827487   0.00013185442       13.348521
    0.011237498     0.076102508    -0.047586688  -1.3379269e-20     -0.19157089    -0.076080209   2.2438856e-20  -3.4526066e-21   1.9721999e-20  -1.1501178e-37       5.4614705     0.015761815  -1.2093417e-25      0.09097196     0.027853033   0.00013231378       13.306356
    0.011949813     0.077208591    -0.047467948  -1.6809225e-20     -0.23309311    -0.077185358  -2.0665119e-20  -1.7008232e-19  -4.4199741e-20    6.102897e-38       5.4613149     0.015707083   -5.246654e-23     0.090976607     0.027869455   0.00013261158       13.277337
    0.012705991     0.077983382    -0.047348392  -1.9760849e-20     -0.26099241    -0.077971023   7.6231584e-20  -5.5239644e-20  -1.8708346e-20  -1.1971273e-38       5.4611251     0.015648293  -1.9521344e-23     0.090979934     0.027879477   0.00013280323       13.257438
    0.013508733     0.078552948    -0.047224323   -1.225832e-20     -0.28089583    -0.078542374   5.6510603e-20   2.5172737e-19   6.3208553e-20  -4.4379507e-38       5.4609056     0.015585371   7.4230674e-23     0.090982357     0.027885304   0.00013292193       13.243635
    0.014360904     0.079011139    -0.047093207  -4.6474948e-21     -0.29658894    -0.079002615  -1.7879957e-20   2.0181748e-19   4.9417686e-20  -9.7789991e-39       5.4606582     0.015518154   6.1972832e-23     0.090984152     0.027888547   0.00013299025       13.233808
