#             x      grad(U)_xx      grad(U)_xy      grad(U)_xz      grad(U)_yx      grad(U)_yy      grad(U)_yz      grad(U)_zx      grad(U)_zy      grad(U)_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0045847965      0.14718417      0.10619555  -2.0372312e-18    -0.057625296     -0.14736267   2.8306545e-20  -5.5882748e-19  -4.2847811e-19   1.0397339e-35       5.4043211    0.0078896056  -3.5310573e-23      0.09737176     0.040508784   0.00015849957       20.162911
   0.0046925938      0.14737873      0.10598097  -7.2084478e-19    -0.057840488     -0.14755738   1.7330992e-20  -4.5148284e-18  -3.2849463e-18  -1.0663793e-35        5.404337    0.0079010398  -2.7546704e-22     0.097367062     0.040497198   0.00015847615       20.156623
   0.0048015152       0.1475747      0.10576392   1.7048682e-18    -0.058058155     -0.14775352  -1.7679177e-20  -3.0216514e-18  -2.1702196e-18  -1.4262744e-35        5.404353    0.0079125696  -1.8555314e-22     0.097362316     0.040485499    0.0001584525       20.150274
   0.0049115726       0.1477721      0.10554436   1.8486739e-18    -0.058278326     -0.14795107  -1.9347894e-20   1.5786881e-18   1.1371826e-18   1.8983072e-35       5.4043693    0.0079241957   9.9836912e-23     0.097357522     0.040473686   0.00015842862       20.143863
   0.0050227778      0.14797092      0.10532228   4.5443324e-19     -0.05850103     -0.14815004   -2.271114e-21   3.4510424e-18   2.4395646e-18   1.9266085e-35       5.4043857    0.0079359185   2.2077123e-22      0.09735268     0.040461759   0.00015840451        20.13739
   0.0051351427      0.14817115      0.10509763   -7.088443e-19    -0.058726295     -0.14835043   9.8600418e-21   3.0806531e-18   2.1687837e-18   1.3501848e-35       5.4044024    0.0079477384   2.0009758e-22      0.09734779     0.040449716   0.00015838016       20.130854
   0.0052486795      0.14837278       0.1048704  -1.6217727e-18    -0.058954152     -0.14855224   5.5939966e-21   9.0550014e-19   6.6629783e-19   1.9115143e-35       5.4044192    0.0079596559    5.786815e-23     0.097342851     0.040437557   0.00015835558       20.124254
   0.0053634003      0.14857581      0.10464055  -1.4547054e-18    -0.059184631     -0.14875547  -1.3862612e-20  -2.5660785e-18  -1.7651737e-18  -4.2930187e-36       5.4044362    0.0079716716  -1.7317222e-22     0.097337862     0.040425279   0.00015833075        20.11759
   0.0054793176      0.14878026      0.10440806   2.5659014e-19    -0.059417762     -0.14896012  -1.5669353e-20  -4.0694222e-18  -2.8242752e-18  -1.7269459e-35       5.4044535    0.0079837857  -2.7579375e-22     0.097332822     0.040412883   0.00015830569       20.110861
   0.0055964437      0.14898614      0.10417289   1.4671148e-18    -0.059653575     -0.14916619  -9.9743781e-21  -1.5962218e-18  -1.0983921e-18  -4.2738716e-35       5.4044709    0.0079959988  -1.0746386e-22     0.097327733     0.040400367   0.00015828038       20.104068
   0.0057147914      0.14919345      0.10393501   4.1390147e-19    -0.059892101     -0.14937368    -1.45377e-21   1.0158499e-18   7.1796338e-19  -5.3684706e-36       5.4044885    0.0080083113   7.0373542e-23     0.097322592      0.04038773   0.00015825482       20.097208
   0.0058343733      0.14940219      0.10369439  -2.1520264e-19    -0.060133371     -0.14958258   1.0526025e-20  -1.8021169e-19  -1.3328894e-19   3.0059658e-35       5.4045064    0.0080207236  -1.4298803e-23       0.0973174     0.040374971   0.00015822902       20.090282
   0.0059552024      0.14961235        0.103451   8.9782888e-19    -0.060377418      -0.1497929    8.212728e-21     2.71916e-19   1.6891679e-19   1.0755418e-35       5.4045245    0.0080332361   2.1400879e-23     0.097312155     0.040362089   0.00015820297       20.083289
   0.0060772915      0.14982392      0.10320481    5.715653e-19    -0.060624271     -0.15000463   1.8007233e-20   2.8433651e-18   1.9455366e-18   7.7344023e-35       5.4045427    0.0080458492   2.0812997e-22     0.097306858     0.040349083   0.00015817667       20.076228
